No.;Time;Comment;Scramble;Date;P.1
186;19.27;;R2 D2 F2 U2 F R2 B F' L2 R2 U2 R U2 B' U F' U' R' F2 D L2;2025-10-28 17:31:49;19.27
187;15.72;;F2 L2 D B2 F2 U2 B2 L2 F2 L2 F2 R' U L U F U2 F U' R';2025-10-28 17:32:20;15.72
188;16.07;;L' D2 B R2 L2 U L' U2 B R2 L2 U2 F' L2 B2 D2 F2 D B;2025-10-28 17:33:30;16.07
189;20.36;;D' R' U2 L' B2 L' B2 F2 D2 L U2 R' B2 D' B F' R2 U' B U;2025-10-28 17:34:00;20.36
190;20.08;;B2 R2 U2 R2 U2 B L2 R2 D2 R2 F2 U' L' D B2 D' B' F U B;2025-10-28 17:34:33;20.08
191;18.10;;L2 U2 L2 B2 U' R2 D' L2 B2 D' U' L D' R2 U L2 B' D R' B F;2025-10-28 17:35:07;18.10
192;20.41;;U R' F U L2 D2 R' F2 U' L2 U F2 D B2 L2 D2 B2 D2 F D2;2025-10-28 17:35:42;20.41
193;21.92;;D2 L' R2 U2 B' U2 B R2 F R2 D2 R2 F2 R2 D' U' F' L' D2 U2 F;2025-10-28 17:36:18;21.92
194;18.36;;B' D R F L F U' F B2 D2 F2 U' B2 L2 D2 L2 U' L2 F2 R';2025-10-28 17:36:51;18.36
195;20.91;;D' F R' U' L' U' R L2 D2 F2 L2 F L2 D2 B U2 R2 U R;2025-10-28 17:37:49;20.91
196;17.38;;U B U2 R2 U' L2 F2 D' F2 U' R2 U B' L D R2 D' R D U2;2025-10-28 17:38:21;17.38
197;16.09;;B D L' F B' U' L U' B F2 R2 F2 D2 L F2 L' B2 R' U2 R';2025-10-28 17:38:52;16.09
198;18.45;;F2 U B2 R2 D R2 D2 U2 B2 R2 L' F' U R2 F2 D B F2 R' D';2025-10-28 17:39:21;18.45
199;14.31;;L' F' R B D F U' B L' F2 D2 L' D2 L' F2 R U2 F2 L D;2025-10-28 17:39:55;14.31
200;17.63;;F' L' F2 L2 D B2 D' F R' D2 L2 D2 R2 B2 U2 F2 U R2 F2 U2;2025-10-28 17:40:37;17.63
